time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-28T06:11:31.360Z,37.3779983520508,-121.729667663574,7.17000007629395,2.56,md,64,32,0.09157,0.07,nc,nc75040367,2024-07-28T07:10:54.097Z,"9 km E of Alum Rock, CA",earthquake,0.14,0.469999999,0.13,80,automatic,nc,nc
2024-07-28T06:08:53.960Z,18.5406666666667,-64.518,67.92,3.14,md,8,316,0.1542,0.31,pr,pr71456368,2024-07-28T06:27:10.890Z,"37 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,7.34,1.65,0.119980083974561,5,reviewed,pr,pr
2024-07-28T05:14:53.840Z,19.1281666666667,-66.3003333333333,13.37,2.96,md,15,262,0.683,0.16,pr,pr71456358,2024-07-28T05:37:16.040Z,"73 km N of Brenas, Puerto Rico",earthquake,1.65,2.55,0.0678565923196335,8,reviewed,pr,pr
2024-07-28T05:10:27.950Z,19.1733333333333,-66.279,22.83,3.09,md,13,300,0.7321,0.22,pr,pr71456348,2024-07-28T05:26:58.230Z,"78 km N of Brenas, Puerto Rico",earthquake,1,17.5,0.0573387237731677,13,reviewed,pr,pr
2024-07-28T04:45:34.298Z,-24.2118,-176.3655,10,4.9,mb,17,147,3.106,0.7,us,us6000ngg0,2024-07-28T05:04:06.040Z,"south of the Fiji Islands",earthquake,14.02,1.906,0.15,14,reviewed,us,us
2024-07-28T04:35:11.820Z,14.7827,108.2426,4.486,5.1,mww,78,74,4.554,0.65,us,us6000ngfw,2024-07-28T15:23:04.307Z,"53 km NNE of Kon Tum, Vietnam",earthquake,8.29,4.247,0.08,15,reviewed,us,us
2024-07-28T04:10:54.880Z,53.68,-164.2726,35,3.5,ml,27,203,0.856,0.99,us,us6000ngft,2024-07-28T04:32:43.040Z,"110 km ESE of Akutan, Alaska",earthquake,3.77,2.003,0.085,18,reviewed,us,us
2024-07-28T03:14:17.090Z,19.1923333333333,-67.166,63.26,3.29,md,14,229,0.7229,0.48,pr,pr71456338,2024-07-28T03:35:27.240Z,"77 km N of San Antonio, Puerto Rico",earthquake,4.31,10.98,0.0943155548205783,7,reviewed,pr,pr
2024-07-28T03:08:05.141Z,52.3635,-169.6272,35,3.5,ml,38,209,0.428,0.88,us,us6000ngfz,2024-07-28T05:20:59.040Z,"82 km SW of Nikolski, Alaska",earthquake,5.36,2.015,0.091,16,reviewed,us,us
2024-07-28T02:40:23.008Z,18.7542,39.2263,10,4.2,mb,27,174,7.986,0.52,us,us6000ngfq,2024-07-28T04:11:44.040Z,"162 km ENE of Tokār, Sudan",earthquake,9.19,1.966,0.108,24,reviewed,us,us
2024-07-28T01:58:11.347Z,45.7719,154.1608,10,4.9,mb,100,135,7.696,0.8,us,us6000ngfh,2024-07-28T02:14:34.040Z,"east of the Kuril Islands",earthquake,9.7,1.887,0.042,178,reviewed,us,us
2024-07-27T23:33:16.550Z,67.794,-160.9707,0,2.7,ml,,,,0.62,ak,ak0249m17m16,2024-07-27T23:56:49.040Z,"84 km ESE of Red Dog Mine, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-07-27T23:19:57.282Z,32.223,-103.093,3.2154,3.2,ml,57,34,0.1,0.5,tx,tx2024oruv,2024-07-28T00:12:54.878Z,"15 km NE of Jal, New Mexico",earthquake,0,1.249121069908142,0.1,38,reviewed,tx,tx
